COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Finland,JAN2010,January 2010,2010,1,January,Fossil fuels,4057.432,27,31895.308,,0.48875619071435605
France,JAN2010,January 2010,2010,1,January,Hydro,6210.412,1,66698.555,,0.11127629438041645
France,JAN2010,January 2010,2010,1,January,Wind,705.829,2,9945,,0.012646831737771173
France,JAN2010,January 2010,2010,1,January,Solar,13.832,3,620.001,,0.00024783761590534093
France,JAN2010,January 2010,2010,1,January,Other renewables,39.167,5,470.004,,0.0007017825261830891
France,JAN2010,January 2010,2010,1,January,Nuclear,40313.099,6,407878.001,,0.7223179833658172
France,JAN2010,January 2010,2010,1,January,Total combustible fuels,8517.149,7,58552.294,,0.1526077141751416
France,JAN2010,January 2010,2010,1,January,Coal,3611.188,8,24825.599,,0.06470418048770794
France,JAN2010,January 2010,2010,1,January,Oil,757.658,9,5208.625,,0.013575488171747311
France,JAN2010,January 2010,2010,1,January,Natural gas,3260.293,10,22413.324,,0.05841694941244012
France,JAN2010,January 2010,2010,1,January,Combustible renewables,609.435,11,4189.644,,0.010919673037107535
France,JAN2010,January 2010,2010,1,January,Other combustible non-renewables,278.575,12,1915.105,,0.004991423066138689
France,JAN2010,January 2010,2010,1,January,Not specified,11.25,13,135,,0.00020157411646436419
France,JAN2010,January 2010,2010,1,January,Net electricity production,55810.737,14,544298.85,,1
France,JAN2010,January 2010,2010,1,January,Total imports,3047.947,15,19474.999,,0.054612197649351955
France,JAN2010,January 2010,2010,1,January,Total exports,2665.266,16,50188,,0.0477554345860009
France,JAN2010,January 2010,2010,1,January,Electricity supplied,56193.418,17,513585.849,,1.006856763063351
France,JAN2010,January 2010,2010,1,January,Used for pumped storage,614.257,18,6597,,0.011006072182848972
France,JAN2010,January 2010,2010,1,January,Distribution losses,3714.714,19,35414.001,,0.06655912821936037
France,JAN2010,January 2010,2010,1,January,Final consumption,51864.447,20,471574.848,,0.9292915626611417
France,JAN2010,January 2010,2010,1,January,Electricity trade,-382.681,21,30713.001,,-0.006856763063351054
France,JAN2010,January 2010,2010,1,January,Renewables,7578.675,22,81923.204,,0.1357924192973836
France,JAN2010,January 2010,2010,1,January,Non-renewables,48232.063,23,462375.654,,0.8642075986203157
France,JAN2010,January 2010,2010,1,January,Others,1047.483,24,7258.73,,0.018768485354350363
France,JAN2010,January 2010,2010,1,January,Other renewables aggregated,648.602,25,4659.648,,0.011621455563290625
France,JAN2010,January 2010,2010,1,January,Low carbon,47903.024,26,489936.205,,0.8583119767796651
France,JAN2010,January 2010,2010,1,January,Fossil fuels,7918.964,27,54497.653,,0.14188961525449842
Germany,JAN2010,January 2010,2010,1,January,Hydro,2078.53,1,26969.001,,0.03707420749027666
Germany,JAN2010,January 2010,2010,1,January,Wind,2906.482,2,37793.002,,0.05184217535217402
Germany,JAN2010,January 2010,2010,1,January,Solar,423.832,3,11728.998,,0.007559782879736609
Germany,JAN2010,January 2010,2010,1,January,Geothermal,2.123,4,20,,3.786740749561341e-05
Germany,JAN2010,January 2010,2010,1,January,Nuclear,12537.344,6,132971.002,,0.2236253952711652
Germany,JAN2010,January 2010,2010,1,January,Total combustible fuels,37957.548,7,382985,,0.6770390662507328
Germany,JAN2010,January 2010,2010,1,January,Coal,25193.476,8,253690.859,,0.4493695816876856
Germany,JAN2010,January 2010,2010,1,January,Oil,1016.591,9,8109.18,,0.01813267341185734
Germany,JAN2010,January 2010,2010,1,January,Natural gas,8936.584,10,83821.136,,0.15939956097351807
Germany,JAN2010,January 2010,2010,1,January,Combustible renewables,2367.575,11,31470.965,,0.04222982915752563
Germany,JAN2010,January 2010,2010,1,January,Other combustible non-renewables,443.323,12,5892.863,,0.007907438856890166
Germany,JAN2010,January 2010,2010,1,January,Not specified,158.185,13,1947,,0.002821505348419033
Germany,JAN2010,January 2010,2010,1,January,Net electricity production,56064.044,14,594414.001,,1
Germany,JAN2010,January 2010,2010,1,January,Total imports,2785.207,15,42962,,0.04967902422451009
Germany,JAN2010,January 2010,2010,1,January,Total exports,6153.18,16,57916.999,,0.10975269639842605
Germany,JAN2010,January 2010,2010,1,January,Electricity supplied,52696.071,17,579459.002,,0.9399263278260841
Germany,JAN2010,January 2010,2010,1,January,Used for pumped storage,664.276,18,8619.001,,0.011848520952216716
Germany,JAN2010,January 2010,2010,1,January,Distribution losses,2266.089,19,23973.999,,0.04041964935672496
Germany,JAN2010,January 2010,2010,1,January,Final consumption,49765.707,20,546866.001,,0.8876581753538864
Germany,JAN2010,January 2010,2010,1,January,Electricity trade,3367.973,21,14954.999,,0.06007367217391596
Germany,JAN2010,January 2010,2010,1,January,Renewables,7778.542,22,107981.966,,0.13874386228720853
Germany,JAN2010,January 2010,2010,1,January,Non-renewables,48285.503,23,486432.04,,0.8612561555495354
Germany,JAN2010,January 2010,2010,1,January,Others,1618.099,24,15949.043,,0.028861617617166536
Germany,JAN2010,January 2010,2010,1,January,Other renewables aggregated,2369.698,25,31490.965,,0.042267696565021246
Germany,JAN2010,January 2010,2010,1,January,Low carbon,20474.071,26,242899.968,,0.3651907629067928
Germany,JAN2010,January 2010,2010,1,January,Fossil fuels,35748.159,27,353461.038,,0.6376307602783702
Greece,JAN2010,January 2010,2010,1,January,Hydro,816.693,1,7456.001,,0.16368157837933606
Greece,JAN2010,January 2010,2010,1,January,Wind,300.769,2,2714.001,,0.060280110944473046
Greece,JAN2010,January 2010,2010,1,January,Solar,13.167,3,158.004,,0.0026389296131113134
Greece,JAN2010,January 2010,2010,1,January,Total combustible fuels,3858.894,7,43061,,0.7733993810630795
Greece,JAN2010,January 2010,2010,1,January,Coal,2703.485,8,28194.953,,0.5418323555177519
Greece,JAN2010,January 2010,2010,1,January,Oil,442.842,9,5574.538,,0.0887543759193013
Greece,JAN2010,January 2010,2010,1,January,Natural gas,686.879,10,8999.461,,0.13766426169395352
Greece,JAN2010,January 2010,2010,1,January,Combustible renewables,15.3,11,173.948,,0.0030664253877575073
Greece,JAN2010,January 2010,2010,1,January,Other combustible non-renewables,10.388,12,118.1,,0.002081962544315358
Greece,JAN2010,January 2010,2010,1,January,Net electricity production,4989.523,14,53389.001,,1
Greece,JAN2010,January 2010,2010,1,January,Total imports,523.937,15,8517.001,,0.105007432574216
Greece,JAN2010,January 2010,2010,1,January,Total exports,362.672,16,2811.001,,0.07268670772737194
Greece,JAN2010,January 2010,2010,1,January,Electricity supplied,5150.788,17,59095.001,,1.032320724846844
Greece,JAN2010,January 2010,2010,1,January,Used for pumped storage,3.943,18,36,,0.0007902559022175066
